Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",1578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1018724
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",1748790
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",4962
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",5272
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1140859
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",820313
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",6281
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1013462
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",315293
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",91142
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",1521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7084
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",4281
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",1596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",354190
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",1267238
ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",731802
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",769397
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",8670
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",8818
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",70858
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",1390777
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",10456
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",92230
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",1364742
HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",12659
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",12927
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",1075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",908255
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",14272
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",1730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1383312
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",813672
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",927628
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1530721
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",721371
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",18230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1374310
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",1138118
CBS,CBS Corp.,Communication Services,Broadcasting,"New York, New York",813828
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",1306830
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",816284
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",1071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1130310
CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",18926
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1091667
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",858877
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",831001
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",759944
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",1156375
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",811156
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",21665
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1166691
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",28412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",16918
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",711404
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",900075
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",24741
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",1755672
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",1024305
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",1051470
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",26172
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",882184
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",927066
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",315189
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",818479
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1539838
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",1297996
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",1393612
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",1437107
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",1437107
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",1001082
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",935703
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",29905
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",1751788
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",936340
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",783280
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",1666700
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",1688568
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1551182
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",31462
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1099800
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",712515
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",32604
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",33185
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",1101239
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1001250
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1711269
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",72741
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",1095073
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",1109357
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",1324424
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",746515
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",34088
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",1048695
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",1326801
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1136893
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",35527
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",1031296
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1132979
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",798354
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",1175454
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",30625
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",37785
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",1262039
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",1519751
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",1308161
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",1308161
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",38777
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",831259
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",749251
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",40545
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",882095
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",320335
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",886982
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",793952
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",860730
HCP,HCP Inc.,Real Estate,Health Care REITs,"Long Beach, California",765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",46765
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1000228
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1645590
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1585689
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",48039
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1070750
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",47217
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",49071
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",49196
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1501585
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",832101
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",874716
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",1598014
