cik,tic
1750,AIR
3197,CECE
859163,AVX
1800,ABT
2098,ACU
2186,BKTI
2178,AE
2488,AMD
2969,APD
353184,AIRT
766421,ALK
701288,ATRI
3453,MATX
3499,ALX
3545,ALCO
773840,HON
4127,SWKS
4447,HES
4457,UHAL
771497,ABM
1475922,PRI
4904,AEP
4962,AXP
4977,AFL
5272,AIG
744825,AMS
713425,AMSWA
5981,AVD
318154,AMGN
6176,AP
6281,ADI
6494,ANDR
821026,ANDE
6845,APOG
320193,AAPL
6951,AMAT
6955,EPAC
7039,TREC
352991,AOXY
7084,ADM
7536,ARW
1674862,ASH
744187,REX
769397,ADSK
8670,ADP
8818,AVY
8858,AVT
8868,AVP
8947,AZZ
9092,BMI
808362,BHI
9346,PTVCB
9389,BALL
9984,B
10048,BRN
10329,BSET
10456,BAX
109563,AIT
10795,BDX
732712,VZ
11199,BMS
764478,BBY
12208,BIO
720762,NIMU
715812,BSYN
1130464,BKH
12659,HRB
12927,BA
315213,RHI
13239,0141A
746598,BRC
14177,BRID
14195,BGGSQ
14272,BMY
14693,BF.B
14707,CAL
14930,BC
1104657,MTRN
934612,BRK3
746838,UIS
15847,BUKS
733269,RAMP
21175,CNA
356037,CSPI
277948,CSX
26058,CTS
16040,CBT
16058,CACI
1011659,0176A
16732,CPB
16875,CP
16918,STZ
790051,CSL
17843,CRS
726958,CASY
18172,CTAM
18230,CAT
18255,CATO
278166,CVCO
740664,RFIL
18926,LUMN
19446,CMD
19584,CHE
19617,JPM
19745,CPK
749647,CLSN
93410,CVX
703351,EAT
313927,CHD
20212,CHDN
716133,CBB
723254,CTAS
1400891,IHRT
764065,CLF
21076,CLX
317540,COKE
21344,KO
215466,CDE
21510,COHR
21535,COHU
1302573,OMED.2
21665,CL
830524,CCF
315293,AON
28412,CMA
22356,CBSH
22444,CMC
723612,CAR
22872,CHCR
1688568,DXC
23111,CTG
23197,CMTL
23217,CAG
1549346,SSTK
1726173,BH
732834,CLR
24491,CTB
711404,COO
24545,TAP
24741,GLW
25232,CUZ
25475,CRD.A
1584207,OMF
25895,CRWS
39263,CFR
723603,CULP
26172,CMI
26324,CW
109657,GTBP
30697,WEN
26780,DAN
313616,DHR
351998,DAIO
799165,DWSN
27419,TGT
27904,DAL
27996,DLX
730464,ATGE
939930,PYYX
28917,DDS
29002,DIOD
1744489,DIS
29332,DXYN
29534,DG
29644,DCI
29669,RRD
29905,DOV
1666700,DD
29989,OMC
1498301,ASNAQ
30554,DD.2
30625,FLS
67215,DY
720875,DYNT
30831,DYSL
31791,PKI
31107,EML
49600,EGP
350797,EV
32604,EMR
32621,MSN
1603923,WFRD
731802,ATO
1507605,MARA
33002,EBF
727510,ENZN
316253,ENZ
33185,EFX
33213,EQT
33488,ESCA
1282637,NEU
33992,KINS
746515,EXPD
34067,BOOM
764401,IIIN
34088,XOM
34563,FARM
310522,FNMA
34903,FRT
794367,M
35214,FOE
320017,CLBS
1281761,RF
36146,TRMK
798941,FCNCA
36270,MTB
36966,FHN
37472,FLXS
1128928,FLO
1124198,FLR
37996,F
352825,FSTR
38777,BEN
39368,FUL
40211,GATX
354190,AJG
39911,GPS
40888,AJRD
40533,GD
40570,JOB
40729,ALLY
1467858,GM
88205,SPXC
355811,GNTX
40987,GPC
1052752,GTY
719274,GIGA
42316,GV
42582,GT
42888,GGG
43920,GEF
1273931,MGI
1589061,GYRO
202058,LHX
45876,HSC
46129,AMOT
216085,HVT
46250,HWKN
731012,HCSG
766704,WELL
874238,STRL
719413,HL
46619,HEI
1637459,KHC
916789,HELE
46765,HP
47111,HSY
47217,HPQ
717605,HXL
47307,CRAWA
47518,HRC
1585689,HLT
354950,HD
833795,HOFD
48287,HNI
48465,HRL
357294,HOV
1029800,UBA
48898,HUBB
728535,JBHT
49196,HBAN
315374,HURC
1093082,HBP
49728,IEC
216228,ITT
52827,RYN
49826,ITW
50292,IEHC
1466258,TT
1481582,RYI
50725,GFF
51143,IBM
51253,IFF
808450,NAV
1405495,IDCC
51434,IP
51548,ISCA
895728,ENB
51644,IPG
742112,IVC
728391,AES4
719209,ISRL
52795,AXE
52988,J
105634,EME
1084580,LUK2
200406,JNJ
833444,JCI
319201,KLAC
1506307,KMI
54381,KAMN
54480,KSU
55067,K
55135,KELYA
55529,KEQU
719733,KTCC
55772,KBAL
55785,KMB
56047,KEX
56873,KR
56978,KLIC
763532,LYTS
60714,LXU
57131,LZB
707549,LRCX
57515,LANC
703604,DSGR
58361,LEE
58492,LEG
704051,LM
920760,LEN
59478,LLY
701985,BBWI
59527,LECO
59558,LNC
936468,LMT
60086,L
315852,RRC
60519,LPX
16099,LUB
60977,LDL
67716,MDU
68709,MTSC
61986,MTW
101778,MRO
62234,MCS
62709,MMC
62996,MAS
749038,CCUR
63276,MAT
319815,MXWL
54187,MAYS
63754,MKC
708819,MDRIQ
63908,MCD
752714,MGRC
64040,SPGI
927653,MCK
1613103,MDT
225628,PSSR
310158,MRK
65011,MDP
724004,MLAB
65270,MEI
65312,EVI
66418,MXC
65596,SIEB
1593936,MIK
723125,MU
66004,MSEX
66382,MLKN
66570,MSA
316300,EXCE
66740,MMM
66756,ALE
67347,MOD
67625,MNR
67887,MOG.A
68505,MSI
717423,MUR
69422,INTG
69488,MYE
70858,BAC
72162,NL
73290,BMRA
69633,NSSC
69733,NATH
70145,NFG
1047335,NHC
70318,THC
80172,NPK
275053,NATR
356309,NJR
71691,NYT
1164727,NEM
71829,NR
320187,NKE
72207,NBL
709005,NROM
72331,NDSN
72333,JWN
702165,NSC
789933,NC
72573,MOV
1111711,NI
72903,XEL
73124,NTRS
97216,TEX
110019,WMB2
73088,NWE
1587987,NEWT
797468,OXY
350737,OBCI
350868,ITI
1525221,VTOL
1031296,FE
74046,ODC
1021635,OGE
74303,OLN
712770,OLP
1039684,OKE
1466593,OTTR
75208,OSG
75252,OMI
1370946,OC
812074,OI
75340,PFIN
79879,PPG
75362,PCAR
708821,PAR
76267,PKE
76282,PKOH
76321,PKDC
76334,PH
943861,GDP
723531,PAYX
1042046,AFG
77159,ROCC
1166126,CPPRQ
77281,PEI
77360,PNR
77476,PEP
77543,TPC
77877,PDCE
350403,PHIKQ
764180,MO
1163165,COP
78239,PVH
278130,PIRRQ
88948,SENEA
78749,AGYS
1230245,PIPR
78814,PBI
1532619,PW
914025,POLY
1546296,IPDN
1338749,PCH
80420,POWL
80424,PG
355429,PL.
276720,PCYO
100591,AGX
708818,NXGN
720500,ASYS
715788,QTHE
700841,RCMT
720005,RJF
110621,RPM
82166,RAVN
1047122,RTN
82811,RRX
716643,RGS
83246,HBC2
350698,AN
355948,RELL
84129,RAD
1069533,RGCO
1024478,ROK
84748,ROG
85408,RDC
85535,RGLD
85961,R
350894,SEIC
766829,SJW
315545,PVCT
87347,SLB
866729,SCHL
87802,SCND
88000,SLGD
88121,SEB
317788,APPS
1012100,SEE
88790,IIN
88941,SMTC
89089,SCI
89800,SHW
314203,MUX
91419,SJM
91440,SNA
91576,KEY
320575,PESXQ
92380,LUV
92521,NCE2
743238,SHYF
718937,STAA
93389,SMP
310354,SXI
93556,SWK
93676,SCX
93751,STT
94049,SCL
1393311,PSA
310764,SYK
1593538,NAVI
95029,RGR
750556,STI
95574,SGC
724742,TPHS
95953,SYNL
96021,SYY
98338,TSRI
318833,TISI
96699,TCCO
96793,SSY
96943,TFX
1051512,TDS
1024725,TEN
97476,TXN
217346,TXT
97745,TMO
701374,SIX
98362,TKR
730349,TOFB
737758,TTC
721683,TSS
99106,TNLX
99302,TRNS
99780,TRN
93314,VNRX
100378,TWIN
860731,TYL
100493,TSN
884614,UGI
757011,USG
100716,UNAM
100726,UFI
717954,UNF
100790,DOW2
100885,UNP
798949,UNTC
74208,UDR
731766,UNH
752642,UMH
1090727,UPS
101594,USEG
101829,RTX
101830,S.4
310142,SXT
102037,UVV
352915,UHS
706698,UTMD
103379,VFC
102752,VSEC
102729,VMI
717720,VALU
203527,VAR
103145,VECO
103730,VSH
103872,VOLT
899689,VNO
1396009,VMC
105132,WDFC
104169,WMT
1618921,WBA
104889,GHC
104894,WRE
104918,AVA
105418,WMK
105770,WST
106040,WDC
106640,WHR
107263,WMB
107687,WGO
1617227,JAX
783325,WEC
110471,WWW
108312,WWD
850209,FL
108516,WOR
318996,KEGX
716006,YELL
109177,SPB
109198,TJX
109380,ZION
1083743,FLUX
775158,OSK
776867,WTM
1107843,QLYS
720672,SF
763744,LCII
764579,CASM
779152,JKHY
7789,ASB
1547903,NMIH
92230,TFC
778946,BXG
1547459,NGVC
773910,APC
786947,ACUR
878726,TUEM
1616262,RMCF
1499422,RBB
1495240,LAND
701719,ELA
768835,BIG
1113169,TROW
751364,NNN
1341439,ORCL
1024305,COTY
790703,TECD
791915,CY
791908,XOMA
792987,ASTE
785557,DLHC
783324,VGZ
793524,REFR
794619,AMWD
793733,SKYW
794170,TOL
724571,FREDQ
754811,GROW
795212,KSPN
784977,POR
1549848,HCRSQ
794172,VIVO
749251,IT
795403,WTS
788920,PDEX
906163,NVR
796505,CLFD
796343,ADBE
745308,JOE
45919,HHS
783412,DJCO
59255,VHI
785161,EHC
798081,LAKE
798287,PTSI
1224608,CNO
799292,MHO
798354,FISV
795266,KBH
318306,ABEO
715446,ANIX
719135,APYX
5513,UNM
351834,STKL
802481,PPC
36047,CLGX
728387,ISR
785956,JJSF
799233,HTLD
804753,CERN
1552275,SUN
797542,MRLA
844059,FRPH
707511,RGRX
785786,PLXS
727273,CDZI
50493,IMKTA
1548309,SHOS
790526,RDNT
807882,JACK
765880,PEAK
809933,EEI
766701,CMO
799698,CYTR
761648,CDR
810136,PLAB
811641,ICCC
704440,KRMD
812128,SAFM
80661,PGR
84246,RLI
766404,MSOF
813298,DXLG
813672,CDNS
1705873,BRY
794323,LVLT
812796,SNGX
815097,CCL
783280,DRE
805022,BPL
790816,BDN
769520,MIDD
803649,EQC
798783,UHT
816284,CELG
799850,CRMT
815094,ABMD
816956,CNMD
98246,TIF
1023844,NHLD
818479,XRAY
811532,FUN
1518587,6685B
813828,PARA
1555280,ZTS
806517,PMD
787253,NAII
811212,THMO
814547,FICO
1505512,RGLS
820081,CBM
1552800,TTSH
1549922,SMLP
933136,COOP
788329,JOUT
201533,CMS1
922358,FGPR
316709,SCHW
822818,CLH
819793,AIN
807863,MITK
815556,FAST
743316,MXIM
1180262,HLF
820313,APH
931015,PII
1038357,PXD
821130,USM
871763,MAN
720858,ITIC
826675,DX
789570,MGM
820608,QTXB
823768,WM
1571996,DELL
1527613,NUZE
1549966,SAMG
820318,IIVI
831259,FCX
825313,AB
704562,CDMO
800240,ODP
746514,NEN
833079,MTH
1037676,ARCH
1026655,CMT
11544,WRB
20286,CINF
835011,MGPI
826253,AUSI
1090012,DVN
836157,LNN
836809,AFTM
771856,CSBR
839087,VASO
1327811,WDAY
928022,CPE
814586,LWAY
813920,9614B
1055160,MFA
842183,RPT
1095651,STAR
845877,AGM
814184,CHFC
34782,SRCE
1538849,CAPL
839470,WWR
783005,EMMS
89439,MLI
1091748,ARGO
1555538,SXCP
842023,TECH
79282,BRO
1280263,AMBA
850429,TG
1293310,HGEN
832988,SIG
1178711,PRTK
1538217,SRAX
849145,HGBL
849399,NLOK
1132105,SPWH
1442236,QRHC
1512931,MRCC
1551152,ABBV
1517302,APAM
1553023,CONE
1533615,GMRE
1487918,OFS
851205,CGNX
1423902,WES
1177648,ENTA
1535929,VOYA
772406,CRUS
722723,HNGR
94845,LEVI
842162,LEA
821189,EOG
849636,RSPI
1328581,BCC
855612,ZIXI
855658,LSCC
1585790,ADSW
1562476,TMHC
717538,AROW
1555039,RESI.1
854775,DGII
356130,EMCI
1563665,BSTG
1555074,AAMC
712515,EA
1559053,PRTA
24090,CIA
726854,CHCO
868671,GBCI
712534,FRME
1438533,TVTX
1547546,LFT
1561387,BFYT
39311,IBCP
1388320,ATNM
1030469,OFG
1093672,PEBK
1561627,XONE
1506983,GCTK
64996,MCY
865058,NSEC
707179,ONB
230557,SIGI
811830,STD2
701869,IHC
936528,WAFD
715579,ACNB
1498382,KTRA
730708,SBCF
1347858,XXII
708955,FFBC
834365,BLFS
1724965,TALO
1532961,NVEE
1745916,PFSI
863110,ARTNA
1373707,TTPH
741516,AMNB
1389002,MRIN
1517130,PME
1533998,DRIO
1117480,CMRX
736772,CCNE
1118417,MODN
1509190,PETX
1407067,FSB
1606440,RBNC
1555177,EMESQ
1562401,AMH
1509261,RZLT
1368514,ADMA
1567345,HMTV
1303652,DATA
1380846,TSC
806279,CVLY
712771,CNOB
1362190,AEYE
1561894,HASI
1571498,EPZM
1169652,ECOM
1560672,EARN
1283699,TMUS
1174850,NIC
763563,CHMG
1556593,NRZ
1559909,HCAP
1476963,NHWK
1478242,IQV
1572910,PSXP
1575515,SFM
1293971,BLUE
1576940,CCS
1401708,NSTG
1517228,COMM
810958,CZNC
834285,FRBK
1275158,NDLS
37808,FNB
1375796,TLRA
1571283,REXR
1567892,MNKPF
1366340,FNJN
1537435,TGEN
1556266,GLG
1439222,AGIO
1574596,NWHM
1403708,EVOK
1098151,FDBC
1578735,NGHC
1023024,ANIP
1514732,SAEXQ
1556364,ORM
1675644,FVCB
1441693,MBII
714562,THFF
771999,DSS
1259515,CTRL
1580608,SC
740663,FLIC
1665918,USFD
1424929,FOXF
1575051,SIRE
1577791,OCSI
314489,BUSE
763907,FUNC
1581068,BRX
723646,FRAF
1534708,EAST
1535955,LPCN
1175505,FPRX
1433270,AR
1581990,PAGP
1579252,JASNQ
1370880,MNDT
1466085,IRT
1573516,MUSA
1280600,XLRN
840715,CLRO
1364954,CHGG
1576169,BNFT
1434316,FATE
1158114,AAOI
1581091,RMAX
1577916,PINC
1580670,LGIH
1384905,RNG
1513856,NTRP
1125345,MGNX
1584952,EPEGQ
876378,ASXC
1579298,BURL
1571123,SAIC
1393052,VEEV
1605301,CBFV
857005,PTC
12239,AIKI
1448893,ESNT
1583103,VLP
1571329,LRFC
1575965,GLPI
1411688,TCS
1418091,TWTR
1495932,EXPI
1253689,GLYC
1491487,TKAT
1438133,TNDM
1429560,TRVN
1326732,XNCR
1384101,VCYT
1399520,STKS
1586105,ZCOR
1586049,OXFD
1588972,SCTL
1361113,VRNS
1118237,MBTF
1669779,CWH
1574085,BHR
1044378,BIOC
788965,HNRG
894671,OVBC
1561743,KIN
1515673,RARE
357173,OSBC
1346830,CARA
716605,PWOD
1585583,TACO
1591588,AMRK
1579157,VNCE
1587246,CELPQ
1554859,SMLR
1133869,CAPR
875582,NTIC
1591763,ENBL
1294133,INGN
1442626,BRG
80035,PLPC
805676,PRK
1135657,ESESQ
1412270,CRCM
90498,SFNC
1590976,MBUU
852772,DENN
821002,GIII
854560,GSBC
914122,PPIH
315131,PHX
1592480,CBPX
1399529,DRNA
1579877,OUT
1587732,OGS
1587523,KN
1592016,AGFS
1591670,FPI
1591890,FGF
719220,STBA
1579684,GCI
1593195,TPCO
799288,LE
1590717,CTRE
1493761,HEAR
1409970,LC
1597033,SABR
1584831,OXBR
883948,AUB
1579910,RESN
1591698,PCTY
1115128,QUOT
1578348,ICMB
1595974,MGNI
1583771,HEPA
1598968,AM.2
1707178,CPLG
1635282,RMNI
1716697,FCBP
1513818,ARAV
1563407,SFS
1580808,ATEN
1307748,IVT
1517022,AKBA
737468,WASH
1410384,QTWO
1459417,TWOU
1288847,FIVN
1580345,TPVG
1596967,MC
1592000,ENLC
784011,POPE
908311,CMCT
1508655,TSLX
1575793,WATT
1314223,AMBR
1668397,MEDP
1261249,AGRX
1598428,TMST
1341235,ALDX
1590584,CVEO
17313,CSWC
1423824,ALDR
1178253,SCYX
1328143,ADMS
1591096,LENSF
1474903,BGSF
1372612,BOX
726601,CCBG
1069899,PAHC
1590955,PAYC
1604028,WMS
1596946,QTNT
1582982,MTBC
1600422,SDPI
825542,SMG
857737,ICON
1598646,NERV
1596783,CTLT
1463172,ZEN
1601046,KEYS
1599617,DNOW
1594466,PE
1462120,LOB
1470099,MOBL
884713,PRMW
1594686,WPGGQ
1592379,FRSH.2
1176948,ARES
1598665,HRTG
858339,CZR.3
1600470,MR
1606163,LMB
1602065,VNOM
1582568,PBFX
858470,CTRA
1578620,ABDC.1
1326706,NAOV
1267813,MRNS
1173420,NG
1602658,ISTR
1500435,GPRO
1437402,ARDX
1395937,SNDX
1603145,NEP
1297184,AMPH
1601548,VEC
1606757,KE
893691,DOOR
1606745,LTRPA
1553643,RLMD
1599947,TERP
1606268,VIA
1596532,ANET
858877,CSCO
1428336,HQY
1484565,SLNO
859737,HOLX
1601545,BHBK
1371285,TRUP
1597553,SAGE
1610466,SHLX
1325618,IRMD
1704720,CNNE
1304492,ATEX
1610853,HSDT
1587221,ZSANQ
1521036,LNTH
1437786,IMDZ
1604464,ATRA
1393434,OCUL
1501756,ADVM
1607678,VKTX
1492674,TTOO
1584754,AKTS
1610092,DPLO
1607962,RWLK
849401,ADMT
1606366,LOCO
357097,FCSC
896747,ABMC
1493566,OTIC
1611983,LBRDK
748592,NTN
844965,TTI
857949,CGA
1029125,PBLA
1590418,FCUV
1606498,AVNS
1266806,EYES
861459,GVA
1609253,CRC
1608249,ZAYO
860748,KMPR
856984,USAQ
1494319,UNVR
1528557,CVRS
1616707,W
824142,AAON
1356093,CREX
944745,CIVB
1649904,RYTM
1605607,PGRE
1613665,GWB
1557883,DERM.2
1607716,VSLR
1496671,CALA
1610682,USDP
1538990,STOR
1501570,VBTX
1610418,CNXM
1582313,XENE
1609702,CDK
1570827,VCTR
1506251,CTXR
1539638,TBK
1424755,TVPT
1530766,BSGM
759944,CFG
1679268,TUSK
879682,VIVE
1404655,HUBS
1616314,MRT
1610250,BOOT
921299,FGEN
1606909,PANL
1444380,NVRO
1566610,VERB
1445305,WK
1610114,SNR
1595097,CRBP
1551693,SIEN
1610950,SYNH
1505155,UPLD
1373670,GRBK
1071993,MCF
1612630,JYNT
315709,IBOC
1602078,NMRD
1604738,AINC
1615346,LMRK
1616862,AXTA
819689,MICR
1507079,FND
1617669,UFAB
1448056,NEWR
1470205,ICBK
768899,TBI
1358403,BLCM
1529628,SND
743988,XLNX
924383,GNSS
1731348,TLRY
1711291,CURO
821483,PARR
1611547,UE
825324,GTIM
1600438,GMS
1583648,PIRS
1506401,HIFR
57725,LCI
1616318,VSTO
10254,ESTE
1620533,SHAK
1506928,AVGR
1619954,INOV
1169987,HTGM
1616741,PATI
1627223,CC
315449,UQM
1522602,CWBR
864749,TRMB
863894,VERU
1614806,AJX
352955,CKX
1597846,GRNQ
1600132,BLPH
1556727,FNWB
1616000,XHR
1534154,AUID
851520,EXPO
1609711,GDDY
1620280,UNIT
1632790,ENR
1620393,NXRT
1619250,VLRXQ
1678463,FRTA
1597313,VRAY
1351051,GENN
1618563,NSA
1589526,BLBD
866273,MTRX
1634117,BNED
1632127,CABO
829323,INUV
1293818,OPGN
1633931,BLD
1633978,LITE
896156,ETD
1633651,TGE
811240,BIOL
1609951,NCOM
1626878,XBIT
1537917,TYME
1597264,BPMC
1621434,BSM
1163370,NRIM
1448431,OPRX
225648,CVA
861842,CATY
1637558,CCR
1637655,HZN
1267565,COLL
1631569,CHCT
1627606,DTEA
1621227,ADAP
858655,HAYN
1339970,LIFE
1636286,ALTA
1108109,CYH
868780,DORM
830122,VWTR
866368,PSB
866609,IOGPQ
872589,REGN
1061027,VIRX
1635718,GCI.1
1636222,WING
1635881,EXTN
1630805,BW
1636050,SIOX
1418121,APLE
1163302,X
1454789,ATXS
1404079,SSNY
867665,AXAS
20639,ABCP
313143,HAE
1635650,GPP
1305773,CFMS
844161,APEX
840489,FCFS
1319947,DBI
1604821,NTRA
1609809,MCRB
874716,IDXX
875355,ISIG
874761,AES
874866,CRVL
874977,STFC
870826,IMBI
1477449,TDOC
49754,DIN
811596,KALU
1520262,ALKS
875320,VRTX
876427,MNRO
876167,PRGS
876437,MTG
704415,TVTY
877212,ZBRA
876523,EZPW
1127703,PRA
69891,FIZZ
933141,IBKC
875045,BIIB
1636519,MSGS
1327688,OOMA
1641489,VTVT
925741,BCDA
1636282,AGLE
1624794,CSWI
878828,WTT
1641991,FLOW
1633917,PYPL
878927,ODFL
1040829,RHP
1552033,TRU
862861,JAN
875622,BSTC
1712184,LILAK
108385,WRLD
879101,KIM
1585364,PRGO
831641,TTEK
880807,AMSC
880242,BLGO
804328,QCOM
860546,OFC
874710,AHPI
867840,PEYE
1642453,HCAC.2
882095,GILD
882104,PDLI
880432,MSON
1640384,LMFA
1638290,MCFT
880984,ACFN
882835,ROP
1626853,MJCO
832489,GOVX
883241,SNPS
876343,LCTX
849146,LFVN
883237,VRTS
883945,USAK
1502292,CNFR
883943,CBKCQ
1707925,LIN
1621443,ZYNE
884144,ASUR
883980,FDC
771266,KOPN
884217,TLRDQ
715072,RNST
1302215,HLI
885245,BKE
1005284,OLED
885725,BSX
885639,KSS
764195,VBIV
736012,INTZ
1757898,STE
886206,FC
1504678,LOOP
885550,CACC
882184,DHI
1467652,NEOS
1408075,GPK
885307,JCTCF
1644406,TWNK
886128,FCEL
829224,SBUX
885508,STRS
796534,NKSH
886835,SPNX
887733,CENTA
1641614,PMTS
850460,WIRE
888491,OHI
1646972,ACI
887226,PRCP
878932,EQS
862668,ESMC
887596,CAKE
889331,LFUS
882361,APTO
1474432,PSTG
867374,EFII
887730,KEM
889609,CPSS
891014,MTX
872248,PQUEQ
891024,PDCO
1650729,SITE
1638833,SGRY
1557746,ACRS
892482,QUMU
886346,KAI
797465,STLY
810509,NAVB
885462,GURE
892553,GTLS
1124105,CBIO
893538,SM
859598,CKH
1196501,HMSY
875657,ULBI
1422143,KURA
1501989,CTMX
1498068,ARA
1646228,HOME
1590877,RGNX
1321732,PEN
1641640,NBRV
1534120,AVTX
1645590,HPE
1650445,QHCCQ
1370053,ANAB
1038773,SMBK
1395848,IOTS
1721741,LAZY
1642081,ABTX
1422841,WAAS
1355754,INST.1
1497504,PLXP
1640266,VYGR
1655075,AFIIQ
1227500,EQBK
1579428,AXSM
1646587,NRE
1621221,ARTL
1492422,APLS
1653653,RRR
1512673,SQ
1644675,MIME
1648893,NVTRQ
1650132,FCPT
1647513,NBLX
1631282,DTSS
1649096,CLPR
1651094,ELVT
1644378,RMR
924805,FRHC
1659166,FTV
1616543,SENS
1468666,SCWX
1651235,ACIA
1618732,NTNX
1539029,CLSD
1053691,DFFN
1644440,GCP
1649989,OTLK
1476204,PECO
844143,CTRCQ
1658566,CDEV
1659617,MBRX
1626971,CRVS
1494891,SRTS
1666138,ATKR
1656936,MGP
1305253,EIGR
1669600,LEXEA
1437491,ZEST
1653477,NGVT
1652130,NTLA
894627,EGY
1624322,BFST
1684144,ZOM
1625101,PLSE
1566469,NH
1667313,ZDGE
1670541,ADNT
1671584,APVO
8504,UAVS
1453687,SELB
1674910,VVV
1556263,SYRS
1557142,KDMN
1425450,KIDS
1455684,TPIC
1702744,SMPL
1675149,AA
1667161,RNDB
1670592,YETI
36377,FHB
1377121,PTGX
1655020,XOG
1272842,AIRG
1679049,INSW
1157601,MDGL
1420520,ATOM
1078207,NLS
887151,CAPS
895456,RCKY
894315,SITC
895126,CHK
886136,SGA
895419,WOLF
1669812,LKSDQ
1669811,DFIN
1639691,LIVN
784199,AORT
101984,UEIC
1578845,AGN
1649749,FBK
895417,ELS
1671933,TTD
1467154,NOVN
49071,HUM
892832,SDON
896841,AVID
896878,INTU
819913,HALL
896985,DESTQ
895447,SCVL
1676479,CSTR
827054,MCHP
1494582,BOC
897429,CHS
1674930,FLGT
897448,AMRN
1562528,FBRT
1673985,ASIX
1101680,DZSI
1385867,COUP
1438423,MRAM
1674416,CRSP
883569,FOSL
897723,SANM
745981,MSL
896622,ATR
898173,ORLY
884887,RCL
4281,HWM
1122976,AVNT
898437,ANIK
898174,RGA
899751,TWI
1402057,CDW
899749,HR
899629,AKR
1451505,RIG
899715,SKT
928054,FTK
899051,ALL
1680378,SNES
1388658,IRTC
1682325,GTYH
929351,LGF.A
884624,OFIX
901491,PZZA
903129,THRM
902791,BBSI
1679082,MYOV
902274,LBYYQ
1481512,RARX
1673358,YUMC
1355839,PALT
78890,BCO
906345,CPT
909724,TLFA
907242,MCRI
908598,ATRM
903651,INOD
906107,EQR
908255,BWA
891482,FLL
877422,SPTN
907254,BFS
908315,WINA
1618673,PFGC
1672326,YUMAQ
1679273,LW
879407,ARWR
846913,FTEK
774569,CLDB
86759,SFEF
907471,CASH
884650,IMCI
890491,BKS
913142,BDC
906465,QCRH
1681622,VREX
1651407,CKPT
910521,DECK
1675033,GECC
1322505,ALBO
909832,COST
911649,SDI
910108,LXP
1041368,RVSB
911216,PTN
910606,REG
889900,PTEN
879169,INCY
906780,NYNY
912562,ROCK
1681714,WRD
911147,CNTY
912767,UFPI
1652535,ICHR
912728,FWRD
821127,BPFH
912603,SCHN
912093,VIAV
1348911,KALV
1653558,PRTH
912593,SUI
1681682,NDRA
914156,UFPT
3570,LNG
1691337,PCSB
1688476,NEX
1675634,PIXY
1681206,NODK
910406,HAIN
914712,STCN
912595,MAA
1687187,METC
1640455,JNCE
1251769,APEN
915358,SGMA
915779,DAKT
915778,DSPG
916076,MLM
911109,MINI
916365,TSCO
915913,ALB
915840,BZH
1657788,KRP
916529,ARTX
914208,IVZ
918573,GRVE
1732845,WRK
1688941,FBM
882796,BCRX
709337,FMNB
912242,MAC
917470,ZEUS
915912,AVB
918541,NNBR
918965,SCSC
1141688,LARK
885590,BHC
1342423,LMNR
918580,GPIC
918160,AKS
1045609,PLD
700565,FMBH
881524,VVUSQ
918646,EXP
916907,SMBC
919012,AEO
917251,ADC
1433642,HLNE
713671,DNBF
1564408,SNAP
920424,ITG
866374,FLEX
864240,SYPR
1682220,SACH
61398,TELL
920371,SSD
1681941,IFMK
1697851,REKR
